group_farm-farm_location,group_farm-farm_size,group_farm-farm_size_unit,group_farm-measurement_unit_other,group_farm-land_ownership,group_farm-land_ownership_other,group_farm-cropping_area,group_farm-cropping_area_unit,group_farm-cropping_area_other,group_farm-land_use,group_farm-land_use_other,group_soil-soil_quality,group_soil-soil_quality_indicators,group_soil-soil_types,group_soil-num_soil_types,group_soil-soil_types_description,group_soil-soil_surface,group_soil-rock_gravel,group_soil_erosion-erosion_prevalence,group_soil_erosion-erosion_type_farm,group_soil_erosion-erosion_control_measures,group_soil_erosion-erosion_control_description,group_crop_production-crop_type,group_crop_production-crop_type_other,group_crop_production-crop_production,group_crop_production-crop_production_other,group_crop_production-crop_productivity_enhance,group_crop_production-crop_productivity_other,farm_management-crop_rotation,farm_management-fallowing,farm_management-fallow_percent,farm_management-fallow_years,farm_management-burning,farm_management-crop_residue,farm_management-crop_residue_other,farm_management-farmyard_manure_use,farm_management-manure_use_crops,farm_management-compost_use,farm_management-compost_use_crops,farm_management-mulch_use,farm_management-mulch_use_crops,farm_management-chemical_fertilizer_use,farm_management-fertilizer_use_crops,farm_management-herbicide_use,farm_management-pesticide_use,PARENT_KEY,KEY,SET-OF-farm_details
1,4.7000000000,2,"",2,"",4.7000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16 7,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16 7,0,"",0,"",1,16 7,0,1,uuid:70d51e32-9f58-4b21-964f-c2b5c0dfae88,uuid:70d51e32-9f58-4b21-964f-c2b5c0dfae88/farm_details[1],uuid:70d51e32-9f58-4b21-964f-c2b5c0dfae88/farm_details
2,3.0000000000,2,"",6,"",3.0000000000,2,"",1,"",Medium,Through yield or soil colour,0,"","",2,1,0,"","","",1,"",2 1 3 6 7 8 9,"",2 1 5,"",0,0,"","",0,2 4,"",0,"",0,"",0,"",0,"",0,0,uuid:0f7b89eb-6c8e-41fa-b63c-deab738ceeac,uuid:0f7b89eb-6c8e-41fa-b63c-deab738ceeac/farm_details[1],uuid:0f7b89eb-6c8e-41fa-b63c-deab738ceeac/farm_details
1,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato castor,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4,uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4/farm_details[1],uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato castor,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,7 16,0,"",0,"",1,7 16,0,1,uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4,uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4/farm_details[2],uuid:03342cc0-e79d-4e60-9fce-d99126d32bf4/farm_details
1,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Chilli, brinjal ,castor, redgram ,groundnut",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:6eb67eb4-aff5-4a3a-bf39-49a00f12d49b,uuid:6eb67eb4-aff5-4a3a-bf39-49a00f12d49b/farm_details[1],uuid:6eb67eb4-aff5-4a3a-bf39-49a00f12d49b/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:cea025f7-3475-4a45-a29e-d15f3bc26f20,uuid:cea025f7-3475-4a45-a29e-d15f3bc26f20/farm_details[1],uuid:cea025f7-3475-4a45-a29e-d15f3bc26f20/farm_details
1,2.5000000000,2,"",2,"",2.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Tomato, groundnut",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:76a62d3d-07b2-4da6-a10f-e905a6c6e44a,uuid:76a62d3d-07b2-4da6-a10f-e905a6c6e44a/farm_details[1],uuid:76a62d3d-07b2-4da6-a10f-e905a6c6e44a/farm_details
1,5.2500000000,2,"",2,"",5.2500000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:8a397691-7ed0-4ad2-8d5b-12f77bf319b8,uuid:8a397691-7ed0-4ad2-8d5b-12f77bf319b8/farm_details[1],uuid:8a397691-7ed0-4ad2-8d5b-12f77bf319b8/farm_details
2,1.0000000000,2,"",1,"",1.0000000000,2,"",1,"",Medium,Soil texture and color,0,"","",2,1,0,"","","",1,"",2 6 7,"",2 1,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,0,1,uuid:ce96686a-bc52-45c9-8b5c-ffc6198029b0,uuid:ce96686a-bc52-45c9-8b5c-ffc6198029b0/farm_details[1],uuid:ce96686a-bc52-45c9-8b5c-ffc6198029b0/farm_details
1,5.9800000000,2,"",2,"",5.9800000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:460a207e-4b9c-4d3e-9d2c-c2eb9ed62930,uuid:460a207e-4b9c-4d3e-9d2c-c2eb9ed62930/farm_details[1],uuid:460a207e-4b9c-4d3e-9d2c-c2eb9ed62930/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Tomato, groundnut",6 7,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16,0,"",0,"",0,"",0,0,uuid:2620be34-47a5-417f-9c2c-a0095e783a19,uuid:2620be34-47a5-417f-9c2c-a0095e783a19/farm_details[1],uuid:2620be34-47a5-417f-9c2c-a0095e783a19/farm_details
1,4.0000000000,2,"",2,"",4.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:3f9ade4c-225a-4fcd-88c0-1619d9a0290b,uuid:3f9ade4c-225a-4fcd-88c0-1619d9a0290b/farm_details[1],uuid:3f9ade4c-225a-4fcd-88c0-1619d9a0290b/farm_details
1,10.0000000000,2,"",2,"",10.0000000000,2,"",1,"",Medium,Soil organisms,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:9aa092bd-27b6-42e0-823d-33260678f585,uuid:9aa092bd-27b6-42e0-823d-33260678f585/farm_details[1],uuid:9aa092bd-27b6-42e0-823d-33260678f585/farm_details
2,4.0000000000,2,"",8,Own farm,4.0000000000,2,"",1,"",Medium,Through yields and soil testing also the through nutrient deficiency,0,"","",2,1,1,1,3,"",1,"",2 6 7 8 9,"",5 2 3 1,"",0,0,"","",0,4 5,Deep plough in the field,1,1,1,1,0,"",1,1,1,1,uuid:4559cbc1-c62d-47b2-88de-34f85e7c0b6c,uuid:4559cbc1-c62d-47b2-88de-34f85e7c0b6c/farm_details[1],uuid:4559cbc1-c62d-47b2-88de-34f85e7c0b6c/farm_details
1,8.0000000000,2,"",2,"",8.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",7 8 16,Groundnut tomato,6 7,"",1 2,"",1,0,"","",0,2,"",1,16,0,"",0,"",1,16,0,1,uuid:34bced04-836f-4087-b8ca-37566ca62a06,uuid:34bced04-836f-4087-b8ca-37566ca62a06/farm_details[1],uuid:34bced04-836f-4087-b8ca-37566ca62a06/farm_details
2,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16 10 11,Chilli,6 7,"",2 1,"",1,0,"","",0,2,"",1,16,0,"",0,"",1,16 11,0,0,uuid:67f31b98-259a-40e5-8f5e-d2d369a38da7,uuid:67f31b98-259a-40e5-8f5e-d2d369a38da7/farm_details[1],uuid:67f31b98-259a-40e5-8f5e-d2d369a38da7/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut tomato,6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:e48c84cd-2520-4046-b450-f027fc9d37e8,uuid:e48c84cd-2520-4046-b450-f027fc9d37e8/farm_details[1],uuid:e48c84cd-2520-4046-b450-f027fc9d37e8/farm_details
2,0.5000000000,2,"",6,"",1.7000000000,2,"",1,"",Medium,Soil colour and texture,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",1 2,"",1,0,"","",0,2,"",1,1,0,"",0,"",1,1,0,0,uuid:89685186-866a-4b04-8be5-43138790d30d,uuid:89685186-866a-4b04-8be5-43138790d30d/farm_details[1],uuid:89685186-866a-4b04-8be5-43138790d30d/farm_details
2,1.2000000000,2,"",6,"",1.7000000000,2,"",1,"",Medium,Soil and texture,0,"","",2,1,0,"","","",1,"",2 6 7 8,"",1,"",1,0,"","",0,2,"",0,"",0,"",0,"",1,1,1,1,uuid:89685186-866a-4b04-8be5-43138790d30d,uuid:89685186-866a-4b04-8be5-43138790d30d/farm_details[2],uuid:89685186-866a-4b04-8be5-43138790d30d/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut,6 7 8,"",1 2 5,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf,uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf/farm_details[1],uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf/farm_details
1,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Tomato chilli brinjal,6 7,"",1 2 5,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf,uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf/farm_details[2],uuid:893f2bcc-2240-44ea-965d-365a0c59b1bf/farm_details
1,6.0000000000,2,"",2,"",6.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",1 2,"",1,0,"","",0,2,"",1,16,0,"",0,"",1,16,0,1,uuid:badb7732-167a-40f0-a492-7761d57b2238,uuid:badb7732-167a-40f0-a492-7761d57b2238/farm_details[1],uuid:badb7732-167a-40f0-a492-7761d57b2238/farm_details
2,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Ground nut,6 7 8,"",2 3,"",1,0,"","",0,2,"",1,16,0,"",0,"",0,"",0,0,uuid:555e0c63-0d0a-4c58-be70-ccca52495eba,uuid:555e0c63-0d0a-4c58-be70-ccca52495eba/farm_details[1],uuid:555e0c63-0d0a-4c58-be70-ccca52495eba/farm_details
1,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:de345fcc-2d80-4b31-998b-97c1cb7aa6cb,uuid:de345fcc-2d80-4b31-998b-97c1cb7aa6cb/farm_details[1],uuid:de345fcc-2d80-4b31-998b-97c1cb7aa6cb/farm_details
2,1.0000000000,2,"",3,"",1.0000000000,2,"",1,"",Medium,Based on soil colour and yield obtained from the farmers,0,"","",2,1,0,"","","",1 10 16 14,Pippali,1 4 9 8,"",3,"",0,1,50.0000000000,0.5000000000,0,2 3,"",0,"",1,1 14,0,"",0,"",0,0,uuid:dcc84062-631c-4361-8a58-e92429239f71,uuid:dcc84062-631c-4361-8a58-e92429239f71/farm_details[1],uuid:dcc84062-631c-4361-8a58-e92429239f71/farm_details
3,0.5000000000,2,"",4,"",0.5000000000,2,"",2,"",Medium,Based on soil colour,0,"","",2,2,0,"","","",15 16,Coffee,1 2 4 8 9,"",3,"",0,0,"","",0,2 3,"",0,"",1,16,0,"",0,"",0,0,uuid:dcc84062-631c-4361-8a58-e92429239f71,uuid:dcc84062-631c-4361-8a58-e92429239f71/farm_details[2],uuid:dcc84062-631c-4361-8a58-e92429239f71/farm_details
2,1.0000000000,2,"",6,"",3.0000000000,2,"",1,"",Low,Soil texture and colour,0,"","",2,1,0,"","","",1,"",1 2,"",1 2,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,0,0,uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15,uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15/farm_details[1],uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15/farm_details
2,2.0000000000,2,"",6,"",3.0000000000,2,"",1,"",Low,Usage of chemicals he can say that the soil is not healthy,0,"","",2,1,0,"","","",1,"",1 2,"",1,"",1,0,"","",0,4,"",0,"",0,"",0,"",1,1,1,1,uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15,uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15/farm_details[2],uuid:33ec363b-b022-4fe8-b1bc-aaa67f57fe15/farm_details
2,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Based on soil colour,0,"","",2,1,0,"","","",16 7,Ground nut,6 7,"",1 2,"",1,0,"","",0,4,"",1,16 7,0,"",0,"",1,7 16,0,1,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details[1],uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details
2,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Ground nut,8 3,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details[2],uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details
2,3.0000000000,2,"",2,"",3.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Groundnut,6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e,uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details[3],uuid:ad19e919-de1d-43af-83cc-34b661d86a0e/farm_details
1,1.5000000000,2,"",2,"",1.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:6bb15cf9-df1c-4cc7-af07-37dc52840038,uuid:6bb15cf9-df1c-4cc7-af07-37dc52840038/farm_details[1],uuid:6bb15cf9-df1c-4cc7-af07-37dc52840038/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16,0,"",0,"",0,"",0,0,uuid:d544e09f-0a75-4c0d-9bb6-b8364f354366,uuid:d544e09f-0a75-4c0d-9bb6-b8364f354366/farm_details[1],uuid:d544e09f-0a75-4c0d-9bb6-b8364f354366/farm_details
2,10.0000000000,2,"",6,"",10.0000000000,2,"",1,"",Medium,Colour,0,"","",2,1,0,"","","",1,"",2 7 6,"",1 2 4,"",0,0,"","",0,4 2,"",1,1,0,"",0,"",1,1,1,1,uuid:c22b9e7b-d9bf-4d85-9c0b-1c2d60399be5,uuid:c22b9e7b-d9bf-4d85-9c0b-1c2d60399be5/farm_details[1],uuid:c22b9e7b-d9bf-4d85-9c0b-1c2d60399be5/farm_details
1,10.0000000000,2,"",2,"",10.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:a1e8f5c6-efc9-4c2b-9324-ed8e89561950,uuid:a1e8f5c6-efc9-4c2b-9324-ed8e89561950/farm_details[1],uuid:a1e8f5c6-efc9-4c2b-9324-ed8e89561950/farm_details
2,1.0000000000,2,"",1,"",5.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",1,"",6 9 7 1 2 8,"",2,"",1,0,"","",0,4,"",1,1,0,"",0,"",0,"",0,0,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details[1],uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details
2,1.5000000000,2,"",1,"",5.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",1,"",1 2 6 7 8 9,"",1,"",0,0,"","",0,4,"",0,"",0,"",0,"",1,1,1,1,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details[2],uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details
2,1.0000000000,2,"",1,"",5.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Pisidium guavae,1 2 6 7 8 9,"",2,"",0,0,"","",0,2,"",1,16,0,"",0,"",0,"",0,0,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details[3],uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details
2,2.0000000000,2,"",1,"",5.5000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Banana,lemon",1 2,"",2,"",0,0,"","",0,2,"",1,16,0,"",0,"",0,"",0,0,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b,uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details[4],uuid:6dc7f94d-7f6c-40c7-8800-0554fe9b082b/farm_details
2,1.0000000000,2,"",2,"",1.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,Ground nut,6 7 8,"",2 3,"",1,0,"","",0,2,"",1,16,1,16,0,"",0,"",0,0,uuid:e499b27c-9fea-479c-83bd-5cc466943c76,uuid:e499b27c-9fea-479c-83bd-5cc466943c76/farm_details[1],uuid:e499b27c-9fea-479c-83bd-5cc466943c76/farm_details
2,1.0000000000,2,"",2,"",1.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Tomato,6 7 8,"",2 3,"",1,0,"","",0,4,"",1,16,1,16,0,"",0,"",0,0,uuid:e499b27c-9fea-479c-83bd-5cc466943c76,uuid:e499b27c-9fea-479c-83bd-5cc466943c76/farm_details[2],uuid:e499b27c-9fea-479c-83bd-5cc466943c76/farm_details
2,0.5000000000,2,"",1,"",0.5000000000,2,"",1,"",Medium,Soil texture and earthworms,0,"","",2,1,0,"","","",1,"",7 6 2,"",2,"",1,0,"","",0,4,"",1,1,0,"",0,"",0,"",0,0,uuid:ceb865cd-1195-4646-a53b-275bdf89266d,uuid:ceb865cd-1195-4646-a53b-275bdf89266d/farm_details[1],uuid:ceb865cd-1195-4646-a53b-275bdf89266d/farm_details
1,2.5000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,"Tomato, Ground nut",6 7,"",1 2,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:f20b1418-c748-42cd-aeae-fc2ee983d0a9,uuid:f20b1418-c748-42cd-aeae-fc2ee983d0a9/farm_details[1],uuid:f20b1418-c748-42cd-aeae-fc2ee983d0a9/farm_details
1,2.3200000000,2,"",2,"",2.3200000000,2,"",1,"",High,Soil organisms,0,"","",2,1,0,"","","",16 8 7 5 4 11 10,"Groundnut, tomato castor",6 7 8,"",6 2,"Jeevamrutam, ghanajeevanrutam , neemastram",1,0,"","",0,4,"",1,16 11 10 8 7 6 5 4,0,"",1,16 11 10 8 7 6 5 4,0,"",0,0,uuid:41f3f6e0-b731-481c-997c-a30f2d5c6aaf,uuid:41f3f6e0-b731-481c-997c-a30f2d5c6aaf/farm_details[1],uuid:41f3f6e0-b731-481c-997c-a30f2d5c6aaf/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16 7,"Groundnut tomato, castor",6 7,"",6 2,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16 7,0,"",0,"",0,"",0,0,uuid:243dbf37-82f5-4370-8efb-7a0d3eeb9e5d,uuid:243dbf37-82f5-4370-8efb-7a0d3eeb9e5d/farm_details[1],uuid:243dbf37-82f5-4370-8efb-7a0d3eeb9e5d/farm_details
1,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field while ploughing,1,16,0,"",0,"",1,16,0,1,uuid:2211f38d-76c4-42b6-89da-7261b09fdb20,uuid:2211f38d-76c4-42b6-89da-7261b09fdb20/farm_details[1],uuid:2211f38d-76c4-42b6-89da-7261b09fdb20/farm_details
2,5.0000000000,2,"",2,"",5.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7,"",2 6,"Jeevamrutam, ghanajeevanrutam",1,0,"","",0,4,"",1,16,0,"",0,"",0,"",0,0,uuid:0b264d2b-e559-46cc-845a-fd238bdc09c3,uuid:0b264d2b-e559-46cc-845a-fd238bdc09c3/farm_details[1],uuid:0b264d2b-e559-46cc-845a-fd238bdc09c3/farm_details
1,6.5700000000,2,"",2,"",6.5700000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",2 1,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:aadf4fc4-6881-495e-baae-7bf50d80be78,uuid:aadf4fc4-6881-495e-baae-7bf50d80be78/farm_details[1],uuid:aadf4fc4-6881-495e-baae-7bf50d80be78/farm_details
1,2.0000000000,2,"",2,"",2.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,1,0,"","","",16,"Groundnut, tomato",6 7 8,"",1 2 5,"",1,0,"","",0,4,"",1,16,0,"",0,"",1,16,0,1,uuid:8a7b23bd-6373-4390-800c-4c8f3e8344dc,uuid:8a7b23bd-6373-4390-800c-4c8f3e8344dc/farm_details[1],uuid:8a7b23bd-6373-4390-800c-4c8f3e8344dc/farm_details
2,2.0000000000,2,"",6,"",2.0000000000,2,"",1,"",Medium,Soil colour and the current structure of soil and through soil testing,0,"","",2,1,0,"","","",1,"",6 7 8 9,"",2 5 1,"",0,0,"","",0,4 2,"",1,1,0,"",0,"",0,"",1,1,uuid:a0b6cc0a-c91b-461d-856a-8f3f8deacafe,uuid:a0b6cc0a-c91b-461d-856a-8f3f8deacafe/farm_details[1],uuid:a0b6cc0a-c91b-461d-856a-8f3f8deacafe/farm_details
2,1.0000000000,2,"",4,"",0.5000000000,2,"",1,"",Medium,Based on earthworms present in the field and earthworms castings present in the field,0,"","",1,2,0,"","","",1,"",1 2 3 4 6 7,"",3 4,"",0,1,40.0000000000,1.0000000000,0,2,"",0,"",1,1,0,"",0,"",0,0,uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed,uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed/farm_details[1],uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed/farm_details
3,4.0000000000,2,"",4,"",2.0000000000,2,"",1,"",Medium,Based on soil colour and porosity capacity of the soil,0,"","",1,2,1,1,3,"",2 5 6 14 16,Pippali,1 2 3 4 8,"",3 4 5,"",1,1,50.0000000000,1.0000000000,0,2,"",0,"",1,2 14 16,0,"",0,"",0,0,uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed,uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed/farm_details[2],uuid:9338fb9d-6654-4e51-a075-d49aac0a48ed/farm_details
2,10.0000000000,2,"",2,"",10.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Ground nut tomato,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field,1,16,0,"",0,"",1,16,0,1,uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544,uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544/farm_details[1],uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544/farm_details
2,10.0000000000,2,"",2,"",10.0000000000,2,"",1,"",Medium,Soil colour,0,"","",2,2,0,"","","",16,Tomato ground nut castor,6 7,"",1 2,"",1,0,"","",0,5,Incorporating into the field,1,16,0,"",0,"",1,16,0,1,uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544,uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544/farm_details[2],uuid:f3394e62-78b7-4e1a-9953-c7aa9c2fc544/farm_details
2,0.7500000000,2,"",6,"",0.7500000000,2,"",1,"",Medium,Soil texture and color,0,"","",2,1,0,"","","",1,"",1 2 6 7,"",1 2,"",1,0,"","",0,4,"",1,1,0,"",0,"",1,1,1,1,uuid:ccc1a44d-f378-49c2-ac8f-ec75c8ae12cd,uuid:ccc1a44d-f378-49c2-ac8f-ec75c8ae12cd/farm_details[1],uuid:ccc1a44d-f378-49c2-ac8f-ec75c8ae12cd/farm_details
2,60.0000000000,4,Cents,6,"",1.5000000000,2,"",1,"",Medium,Soil colour and texture,0,"","",2,1,0,"","","",1,"",11,Water is getting mixed up with the water of fish ponds which is affecting the crop production,2 4,"",1,0,"","",0,4,"",1,1,0,"",0,"",0,"",0,0,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details[1],uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details
2,40.0000000000,4,Cents,6,"",1.5000000000,2,"",1,"",Medium,Soil colour and texture,0,"","",2,1,0,"","","",1,"",11,Water from fish pond is affecting the crop production,1 2 4,"",0,1,100.0000000000,2.0000000000,0,4,"",0,"",0,"",0,"",1,1,1,1,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details[2],uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details
2,30.0000000000,4,Cents,6,"",1.5000000000,2,"",1,"",Medium,Soil colour and texture,0,"","",2,1,0,"","","",1,"",11 2,Water is being polluted,2 1 4,"",0,1,100.0000000000,2.0000000000,0,4,"",0,"",0,"",0,"",1,1,1,1,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1,uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details[3],uuid:996adc5a-3fa9-4b54-97a7-2579e87445f1/farm_details
